# z kT fraction_observed
6.500000000000000222e-01 4.500000000000000000e+00 8.278224490268176750e-01
8.000000000000000444e-01 4.500000000000000000e+00 8.082042592200706643e-01
9.000000000000000222e-01 4.500000000000000000e+00 7.983391880972346977e-01
1.000000000000000000e+00 4.500000000000000000e+00 7.895187273982799958e-01
1.100000000000000089e+00 4.500000000000000000e+00 7.833468855989955681e-01
1.199999999999999956e+00 4.500000000000000000e+00 7.797402726077206081e-01
1.399999999999999911e+00 4.500000000000000000e+00 7.812037727597921366e-01
1.600000000000000089e+00 4.500000000000000000e+00 7.767553224027752279e-01
0.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 5.000000000000000000e+00 9.743909605114435823e-01
1.000000000000000056e-01 5.000000000000000000e+00 9.537326222319919555e-01
1.500000000000000222e-01 5.000000000000000000e+00 9.352660183174006381e-01
2.000000000000000111e-01 5.000000000000000000e+00 9.179448997904978702e-01
2.500000000000000000e-01 5.000000000000000000e+00 9.023575896813537112e-01
3.000000000000000444e-01 5.000000000000000000e+00 8.878847359695362096e-01
3.500000000000000333e-01 5.000000000000000000e+00 8.748770887654340189e-01
4.000000000000000222e-01 5.000000000000000000e+00 8.626794998913730472e-01
4.500000000000000111e-01 5.000000000000000000e+00 8.515752135881174967e-01
5.000000000000000000e-01 5.000000000000000000e+00 8.412510666759921429e-01
5.500000000000000444e-01 5.000000000000000000e+00 8.320155940531497318e-01
6.000000000000000888e-01 5.000000000000000000e+00 8.227450363237108766e-01
6.500000000000000222e-01 5.000000000000000000e+00 8.146004980057702793e-01
8.000000000000000444e-01 5.000000000000000000e+00 7.926281788511678750e-01
9.000000000000000222e-01 5.000000000000000000e+00 7.810304335904741935e-01
1.000000000000000000e+00 5.000000000000000000e+00 7.705974011324819850e-01
1.100000000000000089e+00 5.000000000000000000e+00 7.627526198642721189e-01
1.199999999999999956e+00 5.000000000000000000e+00 7.569837977600197831e-01
1.399999999999999911e+00 5.000000000000000000e+00 7.529822749588046538e-01
1.600000000000000089e+00 5.000000000000000000e+00 7.455432870889652230e-01
0.000000000000000000e+00 5.500000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 5.500000000000000000e+00 9.736619542786087989e-01
1.000000000000000056e-01 5.500000000000000000e+00 9.517997382523174510e-01
1.500000000000000222e-01 5.500000000000000000e+00 9.319181212663710800e-01
2.000000000000000111e-01 5.500000000000000000e+00 9.134729861675078277e-01
